"FastLane.Proposal.Number","Last.Name","First.Name","Institution.or.Affiliation","Conflicted.with.Person..Last.Name.","Conflicted.with.Person..First.Name.","Type.of.Conflict"
"","Bedi","Atul","Department of Otolaryngology-Head and Neck Surgery, Johns Hopkins University School of Medicine, Baltimore, Maryland","Fertig","E","Co-Author"
"","Ben-Zvi","Ido","Champions Oncology, Baltimore, MD 21205, USA","Fertig","E","Co-Author"
"","Bishop","Justin","Department of Pathology, Johns Hopkins Medical Institutions, Baltimore, Maryland, United States of America","Fertig","E","Co-Author"
"","Bishop","Justin A","Department of Otolaryngology-Head and Neck Surgery, Johns Hopkins Medical Institutions, Baltimore, Maryland, USA","Fertig","E","Co-Author"
"","Biswal","Shyam",NA,"Fertig","E","Co-Author"
"","Blackford","Amanda L","Department of Computer Science, Johns Hopkins University, Baltimore, MD, USA","Fertig","E","Co-Author"
"","Boca","Simina","Georgetown","Fertig","E","Collaborator"
"","Brait","Mariana","Department of Otolaryngology and Head and Neck Surgery, Johns Hopkins University School of Medicine, Baltimore, MD 21231, USA","Fertig","E","Co-Author"
"","Brown","C Titus","UC Davis","Fertig","E","Collaborator"
"","Bruckheimer","Elizabeth","Champions Oncology, Baltimore, MD 21205, USA","Fertig","E","Co-Author"
"","Buddavarapu","Kalyan",NA,"Fertig","E","Co-Author"
"","Burns","Timothy F","Department of Medicine, Division of Hematology-Oncology, Hillman Cancer Center, University of Pittsburgh School of Medicine, Pittsburgh, PA, USA","Fertig","E","Co-Author"
"","Burtness","B","Section of Medical Oncology, Department of Internal Medicine, Yale University School of Medicine, New Haven","Fertig","E","Co-Author"
"","Cades","Jessica","Department of Radiation Oncology and Molecular Radiation Sciences, Sidney Kimmel Comprehensive Cancer Center, Johns Hopkins University School of Medicine, Baltimore, MD, USA","Fertig","E","Co-Author"
"","Califano","Joseph","Division of Otolaryngology, Head and Neck Surgery, University of California, San Diego jcalifano@ucsd","Fertig","E","Co-Author"
"","Califano","Joseph A","Department of Otolaryngology-Head and Neck Surgery, Johns Hopkins Medical Institutions, Baltimore, Maryland, USA","Fertig","E","Co-Author"
"","Carey","Jacob","Department of Biostatistics, Bloomberg School of Public Health, Johns Hopkins University, Baltimore, MD, USA","Fertig","E","Co-Author"
"","Carey","Jacob L","Department of Oncology and Division of Biostatistics and Bioinformatics, Johns Hopkins School of Medicine, Baltimore, MD, USA","Fertig","E","Co-Author"
"","Chang","Xiaofei","Department of Otolaryngology-Head and Neck Surgery, Johns Hopkins University, Baltimore, MD 21231, USA","Fertig","E","Co-Author"
"","Chavan","Sameer","Colorado Center for Personalized Medicine, University of Colorado Denver, Denver, CO, United States of America","Fertig","E","Co-Author"
"","Cheng","Haixia","a Department of Oncology , Johns Hopkins Medical Institutions , Baltimore , MD USA","Fertig","E","Co-Author"
"","Chettiar","Sivarajan T","Department of Radiation Oncology and Molecular Radiation Sciences, Sidney Kimmel Comprehensive Cancer Center, Johns Hopkins University School of Medicine, Baltimore, MD, USA","Fertig","E","Co-Author"
"","Choudhary","Ashish",NA,"Fertig","E","Co-Author"
"","Chung","Christine H","Department of Oncology, School of Medicine, Johns Hopkins University, Baltimore, Maryland. Christine.Chung@Moffitt","Fertig","E","Co-Author"
"","Ciznadija","Daniel","Champions Oncology, Baltimore, MD 21205, USA","Fertig","E","Co-Author"
"","Colantuoni","Carlo","Department of Neurology and Department of Neuroscience, Johns Hopkins School of Medicine, Baltimore, MD 21205, USA","Fertig","E","Co-Author"
"","Considine","Michael","Oncology, Johns Hopkins University","Fertig","E","Co-Author"
"","Cope","Leslie","Department of Oncology Biostatistics &amp","Fertig","E","Co-Author"
"","Danilova","Ludmila","Oncology, Johns Hopkins University","Fertig","E","Co-Author"
"","Danilova","Ludmila V",NA,"Fertig","E","Co-Author"
"","Darden","Will",NA,"Fertig","E","Co-Author"
"","Diaz","Luis A","Department of Computer Science, Johns Hopkins University, Baltimore, MD, USA","Fertig","E","Co-Author"
"","El-Naggar","Adel K","Department of Pathology, The University of Texas MD Anderson Cancer Center, Houston, TX, USA","Fertig","E","Co-Author"
"","Ellis","Matthew J","Renal Division, Brigham and Women's Hospital, Harvard Medical School, Boston, Massachusetts","Fertig","E","Co-Author"
"","Engelmann","Guido","Department of Paediatrics, Lukas Hospital, Neuss, Germany","Fertig","E","Co-Author"
"","Ewald","Andrew","JHU","Fertig","E","Collaborator"
"","Faherty","Brian","Department of Otolaryngology and Head and Neck Surgery, Johns Hopkins University School of Medicine, Baltimore, MD 21231, USA","Fertig","E","Co-Author"
"","Fakhry","Carole","Department of Otolaryngology-Head and Neck Surgery, Johns Hopkins University School of Medicine, Baltimore, Maryland. Milton J. Dance Jr. Head and Neck Cancer Center, Greater Baltimore Medical Center, Baltimore, Maryland","Fertig","E","Co-Author"
"","Favorov","Alexander V","Oncology, John Hopkins School of Medicine","Fertig","E","Co-Author"
"","Fekrazad","M Houman",NA,"Fertig","E","Co-Author"
"","Fertig","Benjamin","Ronin Institute for Independent Scholarship, Montclair, NJ, United States of America","Fertig","E","Co-Author"
"","Fertig","Elana","Department of Oncology Biostatistics &amp","Fertig","E","Co-Author"
"","Fertig","Elana J","Department of Oncology, Division of Biostatistics, Sidney Kimmel Comprehensive Cancer Center, Johns Hopkins University, Baltimore, MD, USA","Fertig","E","Co-Author"
"","Firulli","Anthony B","Department of Pediatrics, Riley Heart Research Center, Indiana University School of Medicine, Indianapolis, IN, USA","Fertig","E","Co-Author"
"","Firulli","Beth A","Department of Pediatrics, Riley Heart Research Center, Indiana University School of Medicine, Indianapolis, IN, USA","Fertig","E","Co-Author"
"","Flam","Emily","Otolaryngology-Head &amp","Fertig","E","Co-Author"
"","Forastiere","A A","Department of Oncology","Fertig","E","Co-Author"
"","Fortin","Jean-Philippe",NA,"Fertig","E","Co-Author"
"","Frederick","Mitchell J","Department of Head and Neck Surgery","Fertig","E","Co-Author"
"","Gajula","Rajendra P","Department of Radiation Oncology and Molecular Radiation Sciences, Sidney Kimmel Comprehensive Cancer Center, Johns Hopkins University School of Medicine, Baltimore, MD, USA","Fertig","E","Co-Author"
"","Gandhi","Nishant",NA,"Fertig","E","Co-Author"
"","Gandy","Lisa M","Department of Computer Science, Central Michigan University, Mt Pleasant, MI, USA","Fertig","E","Co-Author"
"","Garcia","J","Mayo Clinic, Rochester, USA","Fertig","E","Co-Author"
"","Gaykalova","Daria A","Otolaryngology- Head and Neck Surgery, Johns Hopkins Medical Institutes","Fertig","E","Co-Author"
"","Geman","Donald","Professor, Department of Applied Mathematics and Statistics, Johns Hopkins University, Baltimore, MD, USA","Fertig","E","Co-Author"
"","Gilbert","J","Division of Hematology/Oncology, Department of Medicine, Vanderbilt University, Nashville","Fertig","E","Co-Author"
"","Gillison","Maura L","Christine H. Chung and Elana J. Fertig, Johns Hopkins University, Baltimore, MD","Fertig","E","Co-Author"
"","Goff","L","JHU","Fertig","E","Collaborator"
"","Gosline","Sara J C","Sage Bionetworks, Seattle, Washington","Fertig","E","Co-Author"
"","Greene","Casey","Department of Pharmacology, U Penn","Fertig","E","Collaborator"
"","Greenwood","Celia Mt",NA,"Fertig","E","Co-Author"
"","Guerrero-Preston","Rafael","Department of Otolaryngology and Head and Neck Surgery","Fertig","E","Co-Author"
"","Gumm","Jordan","Department of Computer Science, Central Michigan University, Mt Pleasant, MI, USA","Fertig","E","Co-Author"
"","Guo","Theresa","Otolaryngology-Head &amp","Fertig","E","Co-Author"
"","Gutkind","J Silvio","Moores Cancer Center, University of California San Diego","Fertig","E","Co-Author"
"","Ha","Patrick K","Otolaryngology-Head and Neck Surgery, University of California San Francisco","Fertig","E","Co-Author"
"","Hadar","Tal","Department of Otolaryngology and Head and Neck Surgery","Fertig","E","Co-Author"
"","Hafner","Marc","Department of Systems Biology, Harvard Medical School, Boston, Massachusetts","Fertig","E","Co-Author"
"","Hales","Russell K",NA,"Fertig","E","Co-Author"
"","Hansen","Kasper","Department of Biostatistics, Johns Hopkins Bloomberg School of Public Health, Baltimore, MD, 21205, USA ","Fertig","E","Co-Author"
"","Hansen","Kasper D",NA,"Fertig","E","Co-Author"
"","Harari","Paul M","Christine H. Chung and Elana J. Fertig, Johns Hopkins University, Baltimore, MD","Fertig","E","Co-Author"
"","Harris","Jonathan","Christine H. Chung and Elana J. Fertig, Johns Hopkins University, Baltimore, MD","Fertig","E","Co-Author"
"","Hartman","Zachary C","Department of Surgery, Duke University Medical Center, Durham, NC, USA","Fertig","E","Co-Author"
"","Hatakeyama","Hiromitsu",NA,"Fertig","E","Co-Author"
"","Hennessey","Patrick","Department of Otolaryngology-Head and Neck Surgery, Johns Hopkins Medical Institutions, Baltimore, Maryland, United States of America","Fertig","E","Co-Author"
"","Hennessey","Patrick T","Department of Otolaryngology-Head and Neck Surgery, Johns Hopkins Medical Institutions, Baltimore, Maryland, USA","Fertig","E","Co-Author"
"","Herman","Joseph M",NA,"Fertig","E","Co-Author"
"","Herrlich","Andreas","Division of Oncology, Department of Internal Medicine, Washington University School of Medicine, St. Louis, Missouri. The Alvin J. Siteman Cancer Center, Washington University School of Medicine, St. Louis, Missouri","Fertig","E","Co-Author"
"","Hoffmann","Georg Friedrich",NA,"Fertig","E","Co-Author"
"","Hoque","Mohammad O","Department of Otolaryngology and Head and Neck Surgery, Johns Hopkins University School of Medicine, Baltimore, Maryland 21231, USA","Fertig","E","Co-Author"
"","Houghton","Jeffery",NA,"Fertig","E","Co-Author"
"","Howard","Jason",NA,"Fertig","E","Co-Author"
"","Howard","Jason D","Department of Oncology, School of Medicine, Johns Hopkins University, Baltimore, Maryland","Fertig","E","Co-Author"
"","Hudson","Thomas J",NA,"Fertig","E","Co-Author"
"","Hughes","Robert M","Department of Oncology, Sidney Kimmel Comprehensive Cancer Center, Johns Hopkins University, Baltimore, MD, USA","Fertig","E","Co-Author"
"","Hughes","Shannon K","Division of Cancer Biology, National Cancer Institute of the NIH, Rockville, Maryland","Fertig","E","Co-Author"
"","Ideker","Trey","Department of Medicine, University of California San Diego, San Diego, CA","Fertig","E","Co-Author"
"","Izumchenko","Evgeny","Department of Otolaryngology-Head and Neck Surgery, Johns Hopkins University School of Medicine, Baltimore, Maryland","Fertig","E","Co-Author"
"","Jablonski","Sandra A","Department of Oncology and Lombardi Comprehensive Cancer Center, Georgetown University Medical Center, 3970 Reservoir Road NW, Washington DC, 20057, USA","Fertig","E","Co-Author"
"","Jaffe","Andrew",NA,"Fertig","E","Co-Author"
"","Jin","Kideok","Department of Oncology, The Sidney Kimmel Comprehensive Cancer Center, Johns Hopkins University School of Medicine, Baltimore, Maryland 21231, USA","Fertig","E","Co-Author"
"","Jones","Dennie V",NA,"Fertig","E","Co-Author"
"","Jones","Lamont","Division of Oncology, Department of Internal Medicine, Washington University School of Medicine, St. Louis, Missouri","Fertig","E","Co-Author"
"","Jones","Siân","Personal Genome Diagnostics, Baltimore, MD, USA","Fertig","E","Co-Author"
"","Jordan","Richard C","Departments of Orofacial Sciences and Pathology, University of California, San Francisco, San Francisco, CA, USA","Fertig","E","Co-Author"
"","Joughin","Brian A","Koch Institute for Integrative Cancer Research, Massachusetts Institute of Technology, Cambridge, Massachusetts","Fertig","E","Co-Author"
"","Kagohara","Luciane T","Department of Otolaryngology and Head and Neck Surgery, Johns Hopkins University School of Medicine, Baltimore, MD 21231, USA","Fertig","E","Co-Author"
"","Kang","Hyunseok","Department of Oncology, School of Medicine, Johns Hopkins University, Baltimore, Maryland","Fertig","E","Co-Author"
"","Karchin","Rachel","Johns Hopkins Institute for Computational Medicine and Department of Biomedical Engineering, Johns Hopkins University, Baltimore, Maryland. Department of Oncology, John Hopkins University School of Medicine, Baltimore, Maryland","Fertig","E","Co-Author"
"","Kato","Yoshinori","The Russell H. Morgan Department of Radiology and Radiological Science, Division of Cancer Imaging Research, Johns Hopkins University School of Medicine, Baltimore, MD, USA","Fertig","E","Co-Author"
"","Kelley","Dylan Z","Otolaryngology-Head &amp","Fertig","E","Co-Author"
"","Kelton","Conor","Department of Mathematics and Statistics, The College of New Jersey, Ewing, NJ, USA","Fertig","E","Co-Author"
"","Kennish","Michael J","Department of Marine and Coastal Sciences, Rutgers University, New Brunswick, NJ, United States of America","Fertig","E","Co-Author"
"","Khan","Zubair","Department of Otolaryngology-Head and Neck Surgery, Johns Hopkins University, School of Medicine","Fertig","E","Co-Author"
"","Khor","Tin Oo","Champions Oncology, Baltimore, MD 21205, USA","Fertig","E","Co-Author"
"","Kim Lyerly","H","Department of Surgery, Duke University Medical Center, Durham, NC, USA","Fertig","E","Co-Author"
"","Kimple","Randall J","Department of Human Oncology, University of Wisconsin, Madison, Wisconsin","Fertig","E","Co-Author"
"","Kinzler","Kenneth W","Ludwig Center for Cancer Genetics and Therapeutics, Howard Hughes Medical Institute, and the Sidney Kimmel Comprehensive Cancer Center, Johns Hopkins University School of Medicine, Baltimore, Maryland","Fertig","E","Co-Author"
"","Koch","Wayne","Department of Otolaryngology and Head and Neck Surgery","Fertig","E","Co-Author"
"","Koch","Wayne M","Department of Otolaryngology-Head and Neck Surgery, Johns Hopkins Medical Institutions, Baltimore, Maryland, USA","Fertig","E","Co-Author"
"","Kong","Christina S","Department of Pathology, Stanford University School of Medicine Stanford, California","Fertig","E","Co-Author"
"","Krigsfeld","Gabriel","Department of Oncology, Sidney Kimmel Comprehensive Cancer Center, Johns Hopkins University, Baltimore, MD, USA","Fertig","E","Co-Author"
"","Labbe","Aurélie",NA,"Fertig","E","Co-Author"
"","Latham","Gary",NA,"Fertig","E","Co-Author"
"","Le","Quynh-Thu","Department of Pathology, Stanford University School of Medicine Stanford, California","Fertig","E","Co-Author"
"","Lee","Esak","Department of Biomedical Engineering, Johns Hopkins University School of Medicine, Baltimore, MD, USA","Fertig","E","Co-Author"
"","Lee","J W","Department of Biostatistics and Computational Biology, Dana-Farber Cancer Institute, Boston","Fertig","E","Co-Author"
"","Lee","Sang-Joon",NA,"Fertig","E","Co-Author"
"","Lee","Wai Shing","Department of Oncology and Division of Biostatistics and Bioinformatics, Johns Hopkins School of Medicine, Baltimore, MD, USA","Fertig","E","Co-Author"
"","Leek","Jeffrey T","Department of Biostatistics, Bloomberg School of Public Health, Johns Hopkins University, Department of Oncology, Sidney Kimmel Comprehensive Cancer Center, Johns Hopkins University, Baltimore, MD 21205, USA, Vavilov Institute of General Genetics, Russian Academy of Sciences, Moscow 119333, Russia, Research Institute for Genetics and Selection of Industrial Microorganisms ""GosNIIGenetika"", Moscow 117545, Russia, Department of Statistics and Biostatistics, Rutgers University, NJ 08854, USA and Division of Allergy &amp","Fertig","E","Co-Author"
"","Lemire","Mathieu",NA,"Fertig","E","Co-Author"
"","Lenhartz","Henning",NA,"Fertig","E","Co-Author"
"","Lewis","James","The Alvin J. Siteman Cancer Center, Washington University School of Medicine, St. Louis, Missouri. Department of Pathology, Washington University School of Medicine, St. Louis, Missouri","Fertig","E","Co-Author"
"","Li","Ryan","Department of Otolaryngology-Head and Neck Surgery, Johns Hopkins Medical Institutions, Baltimore, Maryland, United States of America","Fertig","E","Co-Author"
"","Li","Sijia","Department of Otolaryngology-Head and Neck Surgery, Johns Hopkins School of Medicine, Baltimore, MD, USA","Fertig","E","Co-Author"
"","Li","Yifeng","National Research Council Canada","Fertig","E","Collaborator"
"","Lim","Sora","Division of Oncology, Department of Internal Medicine, Washington University School of Medicine, St. Louis, Missouri","Fertig","E","Co-Author"
"","Ling","Shizhang","Department of Otolaryngology-Head and Neck Surgery, Johns Hopkins University, Baltimore, MD 21231, USA","Fertig","E","Co-Author"
"","Liu","Yan",NA,"Fertig","E","Co-Author"
"","Long","Samuel","AIDS and Cancer Virus Program, Leidos Biomedical Research, Inc., Frederick National Laboratory for Cancer Research, Frederick, MD 21702, USA","Fertig","E","Co-Author"
"","Loyo","Myriam",NA,"Fertig","E","Co-Author"
"","Ma","Jinfang",NA,"Fertig","E","Co-Author"
"","Maher","Christopher A","Division of Oncology, Department of Internal Medicine, Washington University School of Medicine, St. Louis, Missouri. The Alvin J. Siteman Cancer Center, Washington University School of Medicine, St. Louis, Missouri","Fertig","E","Co-Author"
"","Makarev","Eugene","Insilico Medicine, Inc, ETC, Johns Hopkins University, Baltimore, Maryland","Fertig","E","Co-Author"
"","Malek","Reem","Department of Radiation Oncology and Molecular Radiation Sciences, Sidney Kimmel Comprehensive Cancer Center, Johns Hopkins University School of Medicine, Baltimore, MD, USA","Fertig","E","Co-Author"
"","Mambo","Elizabeth",NA,"Fertig","E","Co-Author"
"","Manola","Judith B","Department of Biostatistics and Computational Biology, Dana-Farber Cancer Institute, Boston, MA","Fertig","E","Co-Author"
"","Marchionni","Luigi","Department of Oncology, Johns Hopkins University, Baltimore, MD, United States of America","Fertig","E","Co-Author"
"","Markovic","Ana","Department of Oncology, School of Medicine, Johns Hopkins University, Baltimore, Maryland","Fertig","E","Co-Author"
"","Mazzacurati","Lucia","Department of Medicine, Division of Hematology-Oncology, Hillman Cancer Center, University of Pittsburgh School of Medicine, Pittsburgh, PA, USA","Fertig","E","Co-Author"
"","McKay","Ronald D","Lieber Institute for Brain Development, Baltimore, MD, USA","Fertig","E","Co-Author"
"","Meyer","Aaron S","Koch Institute for Integrative Cancer Research, Massachusetts Institute of Technology, Cambridge, Massachusetts. ameyer@asmlab","Fertig","E","Co-Author"
"","Michailidi","Christina","Department of Otolaryngology-Head and Neck Surgery, Johns Hopkins Medical Institutions, Baltimore, MD","Fertig","E","Co-Author"
"","Michel","Loren S","Division of Oncology, Department of Internal Medicine, Washington University School of Medicine, St. Louis, Missouri. The Alvin J. Siteman Cancer Center, Washington University School of Medicine, St. Louis, Missouri","Fertig","E","Co-Author"
"","Morton","Kathryn","Department of Otolaryngology-Head and Neck Surgery, Johns Hopkins Medical Institutions, Baltimore, MD","Fertig","E","Co-Author"
"","Murphy","B A","Division of Hematology/Oncology, Department of Medicine, Vanderbilt University, Nashville","Fertig","E","Co-Author"
"","Myers","Jeffrey N","Department of Head and Neck Surgery","Fertig","E","Co-Author"
"","Nallur","S","Department of Therapeutic Radiology","Fertig","E","Co-Author"
"","Ngom","Alioune","Department of Computer Science, U Windsor","Fertig","E","Collaborator"
"","Niknafs","Noushin","Johns Hopkins Institute for Computational Medicine and Department of Biomedical Engineering, Johns Hopkins University, Baltimore, Maryland","Fertig","E","Co-Author"
"","Noordhuis","Maartje G","Department of Otolaryngology and Head and Neck Surgery","Fertig","E","Co-Author"
"","Nugent","Katriana","Department of Radiation Oncology and Molecular Radiation Sciences, Sidney Kimmel Comprehensive Cancer Center, Johns Hopkins University School of Medicine, Baltimore, MD, USA","Fertig","E","Co-Author"
"","Ochs","Michael","Department of Mathematics and Statistics, The College of New Jersey, Ewing Township, NJ, 08618, USA","Fertig","E","Co-Author"
"","Ochs","Michael F","Department of Mathematics and Statistics, The College of New Jersey, Ewing Township, NJ, USA","Fertig","E","Co-Author"
"","Olson","Garth T",NA,"Fertig","E","Co-Author"
"","Ozawa","Hiroyuki","Department of Oncology, School of Medicine, Johns Hopkins University, Baltimore, Maryland","Fertig","E","Co-Author"
"","Pallavajjala","Aparna","Division of Oncology Biostatistics, Department of Oncology, Johns Hopkins Medical Institutions, Baltimore, MD","Fertig","E","Co-Author"
"","Pandey","Niranjan B","Department of Biomedical Engineering, Johns Hopkins University School of Medicine, Baltimore, MD, USA","Fertig","E","Co-Author"
"","Papadopoulos","Nickolas","Ludwig Center for Cancer Genetics and Therapeutics, Howard Hughes Medical Institute, and the Sidney Kimmel Comprehensive Cancer Center, Johns Hopkins University School of Medicine, Baltimore, Maryland","Fertig","E","Co-Author"
"","Paranjape","T","Department of Therapeutic Radiology","Fertig","E","Co-Author"
"","Parker","Hilary","Department of Biostatistics, Johns Hopkins Bloomberg School of Public Health, Baltimore, MD, 21205, USA","Fertig","E","Co-Author"
"","Parker","Hilary S","Department of Biostatistics, Bloomberg School of Public Health, Johns Hopkins University, Department of Oncology, Sidney Kimmel Comprehensive Cancer Center, Johns Hopkins University, Baltimore, MD 21205, USA, Vavilov Institute of General Genetics, Russian Academy of Sciences, Moscow 119333, Russia, Research Institute for Genetics and Selection of Industrial Microorganisms ""GosNIIGenetika"", Moscow 117545, Russia, Department of Statistics and Biostatistics, Rutgers University, NJ 08854, USA and Division of Allergy &amp","Fertig","E","Co-Author"
"","Paz","Keren","Champions Oncology, Baltimore, MD 21205, USA","Fertig","E","Co-Author"
"","Perez","Jimena","Department of Oncology, School of Medicine, Johns Hopkins University, Baltimore, Maryland","Fertig","E","Co-Author"
"","Piccolo","Stephen R","Department of Biology, Brigham Young University, Provo, Utah","Fertig","E","Co-Author"
"","Pickering","Curtis R","Department of Head and Neck Surgery","Fertig","E","Co-Author"
"","Popel","Aleksander S","] Department of Oncology, Sidney Kimmel Comprehensive Cancer Center, Johns Hopkins University, Baltimore, MD, USA [2] Department of Biomedical Engineering, Johns Hopkins University School of Medicine, Baltimore, MD, USA","Fertig","E","Co-Author"
"","Quon","Harry","Department of Radiation Oncology and Molecular Radiation Sciences, Johns Hopkins University, Baltimore, Maryland","Fertig","E","Co-Author"
"","Raben","David","Christine H. Chung and Elana J. Fertig, Johns Hopkins University, Baltimore, MD","Fertig","E","Co-Author"
"","Raman","Arora","JHU","Fertig","E","Collaborator"
"","Raman","Venu",NA,"Fertig","E","Co-Author"
"","Ranaweera","Ruchira",NA,"Fertig","E","Co-Author"
"","Ranaweera","Ruchira S","Department of Oncology, School of Medicine, Johns Hopkins University, Baltimore, Maryland","Fertig","E","Co-Author"
"","Ravi","Rajani","Department of Otolaryngology-Head and Neck Surgery, Johns Hopkins University School of Medicine, Baltimore, Maryland","Fertig","E","Co-Author"
"","Redmond","Kevin P","Christine H. Chung and Elana J. Fertig, Johns Hopkins University, Baltimore, MD","Fertig","E","Co-Author"
"","Restrepo","Juan G",NA,"Fertig","E","Co-Author"
"","Rettig","Eleni","Department of Otolaryngology-Head and Neck Surgery, Johns Hopkins University, Baltimore, MD, USA","Fertig","E","Co-Author"
"","Rettig","Eleni M","Department of Otolaryngology-Head and Neck Surgery, Johns Hopkins University, Baltimore, MD 21231, USA","Fertig","E","Co-Author"
"","Rudin","Charles M",NA,"Fertig","E","Co-Author"
"","Rusay","Matthew","Department of Mathematics and Statistics, The College of New Jersey, Ewing, NJ, USA","Fertig","E","Co-Author"
"","Sakai","Akihiro","Otolaryngology-Head and Neck Surgery, University of California, San Diego","Fertig","E","Co-Author"
"","Salih","Tarek",NA,"Fertig","E","Co-Author"
"","Sanford","Tiffany",NA,"Fertig","E","Co-Author"
"","Sausen","Mark","Personal Genome Diagnostics, Baltimore, Maryland","Fertig","E","Co-Author"
"","Shajahan-Haq","Ayesha N","Lombardi Comprehensive Cancer Center, Georgetown University Medical Center, Washington, District of Columbia","Fertig","E","Co-Author"
"","Shan","Roger","Department of Mathematics and Statistics, The College of New Jersey, Ewing, NJ, USA","Fertig","E","Co-Author"
"","Shankrit","Shambhavi","Department of Oncology, Johns Hopkins University, Baltimore, MD, United States of America","Fertig","E","Co-Author"
"","Shao","Chunbo","Department of Otolaryngology-Head and Neck Surgery, Johns Hopkins Medical Institutions, Baltimore, Maryland, United States of America","Fertig","E","Co-Author"
"","Sharma","Rajni","Department of Pathology, Johns Hopkins Medical Institutions, Baltimore, MD","Fertig","E","Co-Author"
"","Shenouda","George","Christine H. Chung and Elana J. Fertig, Johns Hopkins University, Baltimore, MD","Fertig","E","Co-Author"
"","Sherman","Thomas","Department of Mathematics and Statistics, The College of New Jersey, Ewing Township, NJ, USA","Fertig","E","Co-Author"
"","Shuptrine","Casey W","Department of Oncology and Lombardi Comprehensive Cancer Center, Georgetown University Medical Center, 3970 Reservoir Road NW, Washington DC, 20057, USA","Fertig","E","Co-Author"
"","Sidransky","David","Department of Otolaryngology-Head and Neck Surgery, Johns Hopkins University School of Medicine, Baltimore, Maryland","Fertig","E","Co-Author"
"","Sivy","Shawn","Department of Mathematics and Statistics, The College of New Jersey, Ewing Township, NJ, USA","Fertig","E","Co-Author"
"","Slebos","Robbert","From the Department of Oncology, Johns Hopkins University School of Medicine, Baltimore, MD","Fertig","E","Co-Author"
"","Slebos","R J","Department of Cancer Biology","Fertig","E","Co-Author"
"","Sloma","Ido","Champions Oncology, Baltimore, MD 21205, USA","Fertig","E","Co-Author"
"","Sobel","Ryan","Department of Otolaryngology-Head and Neck Surgery, Johns Hopkins University, Baltimore, MD, USA","Fertig","E","Co-Author"
"","Soudry","Ethan","Department of Otolaryngology-Head and Neck Surgery, Johns Hopkins Medical Institutions, Baltimore, Maryland, United States of America","Fertig","E","Co-Author"
"","Spafford","Michael J",NA,"Fertig","E","Co-Author"
"","Stansfield","John C","Department of Mathematics and Statistics, The College of New Jersey, Ewing, NJ, USA","Fertig","E","Co-Author"
"","Stein-O'Brien","Genevieve","Institute of Genetic Medicine, Johns Hopkins University, Baltimore, MD, USA","Fertig","E","Co-Author"
"","Stein-O'Brien","Genevieve L","McKusick-Nathans Institute of Genetic Medicine, Johns Hopkins School of Medicine, Baltimore, MD, USA","Fertig","E","Co-Author"
